task,width,rank,test_mse,recovery_slope,high_low_ratio
sparse,1024,1,1.1028194002515823,-0.29044943820224717,0.30887215833480663
sparse,1024,2,0.6035415457223001,-0.25493827160493826,0.4019026646460797
sparse,1024,3,0.39159296286070056,-0.25493827160493826,0.41721677231970944
sparse,1024,4,0.31423836934083127,-0.29044943820224717,0.4060890400684371
sparse,1024,5,0.3194963165766718,-0.34908424908424907,0.38630491362141994
sparse,1024,6,0.3424392782094422,-0.4220808416389812,0.3634429878011675
sparse,1024,7,0.35564168096611554,-0.4855010938048017,0.3395479719300571
sparse,1024,8,0.3616601494421144,-0.5382383998342871,0.3155274271123089
sparse,1024,9,0.3685407861783819,-0.5814604554194399,0.29187685728342877
sparse,1024,10,0.3770274830659697,-0.6170857288436324,0.2689099524764374
sparse,1024,11,0.38181280610870194,-0.6469049719849858,0.24683925267545181
sparse,1024,12,0.3808628785247438,-0.672346225836723,0.2258097844423559
sparse,1024,13,0.37900224119773446,-0.6944824751601766,0.20591665592402325
sparse,1024,14,0.3811965062042087,-0.7141028794597878,0.18721632885732908
sparse,1024,15,0.3857820825849085,-0.7317856430704317,0.16973484652860182
sparse,1024,16,0.3873649466213789,-0.7479564560536687,0.15347426806628917
sparse,1024,17,0.3848215525495636,-0.7629315915746391,0.13841787274533793
sparse,1024,18,0.38277710530887316,-0.776948659839433,0.12453443790319503
sparse,1024,19,0.38478249154675614,-0.7901883146509312,0.11178178028819717
sparse,1024,20,0.38832560831168483,-0.8027895709021156,0.10010969292819445
sparse,1024,21,0.3887225013322109,-0.814860671747428,0.08946237639575326
sparse,1024,22,0.3859339268570817,-0.8264868627708134,0.07978044232843837
sparse,1024,23,0.3844354719249898,-0.8377360082479209,0.07100255276003253
sparse,1024,24,0.3866266429265423,-0.8486626911607658,0.06306674849528812
sparse,1024,25,0.38948529516159097,-0.8593112383484586,0.05591151192466476
sparse,1024,26,0.38912575945788686,-0.8697179762415033,0.04947660346305062
sparse,1024,27,0.38641148696395794,-0.8799129302482169,0.04370370568882525
sparse,1024,28,0.38553509869653113,-0.8899211177686701,0.03853690493702162
sparse,1024,29,0.3878751198253581,-0.8997635414108642,0.03392303636185515
sparse,1024,30,0.39012353352980855,-0.9094579588789954,0.02981191520091315
sparse,1024,31,0.3892126273343498,-0.9190194849332699,0.02615647406172552
sparse,1024,32,0.38671723811307174,-0.9284610659367522,0.022912823454617218
sparse,1024,33,0.3864272987042226,-0.9377938568928447,0.02004025047397484
sparse,1024,34,0.3888205856958724,-0.9470275232413378,0.01750116845405079
sparse,1024,35,0.3904893890110045,-0.9561704841373158,0.015261028572236893
sparse,1024,36,0.38917653075039044,-0.9652301098771443,0.013288202723283746
sparse,1024,37,0.3869877030573031,-0.9742128831370687,0.011553845525484555
sparse,1024,38,0.3872176120625487,-0.9831245314570757,0.010031742029106283
sparse,1024,39,0.3895661364926066,-0.9919701367269654,0.008698146564026467
sparse,1024,40,0.3906844161048886,-1.000754226164509,0.007531617174018974
sparse,1024,41,0.3890966524914738,-1.009480848310555,0.0065128492264289305
sparse,1024,42,0.3872709457179158,-1.0181536368258475,0.005624511045661368
sparse,1024,43,0.3879417181454281,-1.0267758643029525,0.0048510837851484636
sparse,1024,44,0.39015779365776654,-1.0353504878627435,0.0041787072140512535
sparse,1024,45,0.39076256529017933,-1.043880187957852,0.003595032641351905
sparse,1024,46,0.3890130277975196,-1.0523674015325835,0.0030890838213584017
sparse,1024,47,0.38758397270518846,-1.060814350473005,0.0026511263718488336
sparse,1024,48,0.3886107928577284,-1.0692230661093183,0.0022725459807313264
sparse,1024,49,0.39062086072587826,-1.0775954103955045,0.001945735471519819
sparse,1024,50,0.39075882662806133,-1.0859330942810843,0.0016639906351721538
sparse,1024,0,0.52554,-0.942,0.045
sparse,2048,1,1.0809215360523867,-0.29044943820224717,0.31432284348189143
sparse,2048,2,0.5915332263982656,-0.25493827160493826,0.4089950646104223
sparse,2048,3,0.38378796657615377,-0.25493827160493826,0.4245794212429984
sparse,2048,4,0.30797540839741144,-0.29044943820224717,0.4132553172461154
sparse,2048,5,0.3131434576940213,-0.3486996336996337,0.39312205915591564
sparse,2048,6,0.3356447517254671,-0.4213665559246955,0.369856687585894
sparse,2048,7,0.34859468709526975,-0.4845010938048017,0.34553999496411697
sparse,2048,8,0.3545003999235845,-0.5369883998342871,0.3210955581789967
sparse,2048,9,0.36125019223438415,-0.5799898671841458,0.2970276253531363
sparse,2048,10,0.3695736296409789,-0.6154190621769657,0.2736554222260216
