task,rank,raw_scaling_exponent,useful_scaling_exponent,marginal_scaling_gain,test_mse,high_low_ratio,bound_proxy,useful_score,plateau_rank,plateau_flag
dense,1,0.32517241379310347,0.5435628050308425,0.9166153846153846,1.2561802485088072,0.3919147464737058,1.2526829507133237,1.3465426148849866,4,0
dense,2,0.2853846153846154,0.35491739024101054,0.188645414789832,0.7353925965584833,0.5360921243933001,0.735976839870125,0.7597290677582216,4,0
dense,3,0.27,0.3008695739980435,0.05404781624296706,0.5213497243769254,0.5830286856683283,0.5248986208184735,0.5267694598916253,4,0
dense,4,0.2853846153846154,0.28538461538461535,0.015484958613428135,0.44527564159969546,0.5822098083412078,0.4465648714784204,0.44527564159969546,4,1
dense,5,0.32517241379310347,0.2853846153846154,1e-05,0.45001681480580863,0.5644271843290279,0.4473712552596448,0.45001681480580863,4,1
dense,6,0.3758823529411765,0.2853846153846154,1e-05,0.47033647643164234,0.539887896757311,0.4677607115522117,0.47033647643164234,4,1
dense,7,0.4410975609756098,0.2853846153846154,1e-05,0.48330595080969285,0.5125916927662867,0.48445119808860515,0.48330595080969285,4,1
dense,8,0.49799098974610423,0.2853846153846154,1e-05,0.4926783924654428,0.4842672074376144,0.49569218818727306,0.4926783924654428,4,1
dense,9,0.5463837044633262,0.2853846153846154,1e-05,0.5028053001273031,0.45576299940583553,0.5032923712315628,0.5028053001273031,4,1
dense,10,0.5870978986626323,0.2853846153846154,1e-05,0.5112742923155539,0.427559074186472,0.5086858501946726,0.5112742923155539,4,1
dense,11,0.6214909436272612,0.2853846153846154,1e-05,0.5145402149914384,0.39996122064417755,0.5127338598798908,0.5145402149914384,4,1
dense,12,0.6508966695455048,0.2853846153846154,1e-05,0.5144297348603695,0.3731791211951846,0.5159379842422256,0.5144297348603695,4,1
dense,13,0.6764329816692697,0.2853846153846154,1e-05,0.5160989051748788,0.34736088976366436,0.5185958643799264,0.5160989051748788,4,1
dense,14,0.6989771368778168,0.2853846153846154,1e-05,0.5210185877922279,0.3226105812547874,0.5208892988491335,0.5210185877922279,4,1
dense,15,0.7191985132044951,0.2853846153846154,1e-05,0.525372185036392,0.2989985526612452,0.5229326337419746,0.525372185036392,4,1
dense,16,0.7376028434560651,0.2853846153846154,1e-05,0.5259501401993171,0.27656847982207533,0.52479980116738,0.5259501401993171,4,1
dense,17,0.754572049184187,0.2853846153846154,1e-05,0.5248172381936285,0.25534258006942856,0.5265398447556385,0.5248172381936285,4,1
dense,18,0.7703958855427746,0.2853846153846154,1e-05,0.5261890911335985,0.23532572917780917,0.5281860841629239,0.5261890911335985,4,1
dense,19,0.7852957994348153,0.2853846153846154,1e-05,0.530361867182339,0.21650881469639371,0.5297616659973743,0.530361867182339,4,1
dense,20,0.7994425131506876,0.2853846153846154,1e-05,0.5335052153471588,0.19887151797590452,0.5312830070296988,0.5335052153471588,4,1
dense,21,0.8129688761721623,0.2853846153846154,1e-05,0.5333509035624401,0.18238464596456258,0.5327619779356838,0.5333509035624401,4,1
dense,22,0.8259792522299525,0.2853846153846154,1e-05,0.5323880413654287,0.1670120961750758,0.5342073174947416,0.5323880413654287,4,1
dense,23,0.8385564004411791,0.2853846153846154,1e-05,0.5341081484389358,0.15271251618926146,0.5356255667052516,0.5341081484389358,4,1
dense,24,0.8507665499482095,0.2853846153846154,1e-05,0.5379714698470335,0.13944070504467873,0.5370216974463091,0.5379714698470335,4,1
dense,25,0.8626631699581014,0.2853846153846154,1e-05,0.5403542281450089,0.12714879432021578,0.5383995431202244,0.5403542281450089,4,1
dense,26,0.8742897932158389,0.2853846153846154,1e-05,0.5398748191560133,0.11578723992906194,0.5397620986107096,0.5398748191560133,4,1
dense,27,0.885682148299378,0.2853846153846154,1e-05,0.539291373196788,0.10530565056220786,0.5411117325165667,0.539291373196788,4,1
dense,28,0.8968697835165355,0.2853846153846154,1e-05,0.5413863598743118,0.09565347482834612,0.5424503395408218,0.5413863598743118,4,1
dense,29,0.9078773139215688,0.2853846153846154,1e-05,0.5449737046359221,0.08678056604909129,0.5437794514267649,0.5449737046359221,4,1
dense,30,0.9187253867053724,0.2853846153846154,1e-05,0.5467529141539407,0.07863764116054225,0.5451003187638618,0.5467529141539407,4,1
dense,31,0.9294314344477391,0.2853846153846154,1e-05,0.5461307172781455,0.07117664808951576,0.5464139720438682,0.5461307172781455,4,1
dense,32,0.9400102673079962,0.2853846153846154,1e-05,0.5459777761317393,0.06435105421064675,0.5477212677470735,0.5459777761317393,4,1
dense,33,0.9504745419857593,0.2853846153846154,1e-05,0.5483797290656394,0.05811606697643126,0.5490229234985508,0.5483797290656394,4,1
dense,34,0.9608351356885705,0.2853846153846154,1e-05,0.5516656601744712,0.05242879649501648,0.5503195451538307,0.5516656601744712,4,1
dense,35,0.9711014463412146,0.2853846153846154,1e-05,0.5529415680565727,0.04724836867338003,0.551611647862035,0.5529415680565727,4,1
dense,36,0.9812816351239932,0.2853846153846154,1e-05,0.5522975326732608,0.04253599651960501,0.5528996725898742,0.5522975326732608,4,1
dense,37,0.9913828236151989,0.2853846153846154,1e-05,0.5525800320665175,0.0382550162871684,0.5541839991923313,0.5525800320665175,4,1
dense,38,1.0014112549695429,0.2853846153846154,1e-05,0.5552034834729089,0.03437089433117741,0.5554649568327933,0.5552034834729089,4,1
dense,39,1.0113724264282307,0.2853846153846154,1e-05,0.5581589736141724,0.03085120981928885,0.5567428323517152,0.5581589736141724,4,1
dense,40,1.0212711988406924,0.2853846153846154,1e-05,0.5590172814375047,0.02766561778897664,0.5580178770349106,0.5590172814375047,4,1
dense,41,1.0311118876476866,0.2853846153846154,1e-05,0.558443662049964,0.024785796459903035,0.5592903121239816,0.558443662049964,4,1
dense,42,1.0408983388326425,0.2853846153846154,1e-05,0.5591445666240109,0.02218538218866989,0.5605603333310532,0.5591445666240109,4,1
dense,43,1.0506339926209671,0.2853846153846154,1e-05,0.5619035699937612,0.01983989498735332,0.5618281145599955,0.5619035699937612,4,1
dense,44,1.0603219371429338,0.2853846153846154,1e-05,0.5645083244119355,0.017726657111832165,0.563093810991187,0.5645083244119355,4,1
