index,name,count,mode,wavenumber,noise,aperture_degrees,heteroscedastic,category
1,one obstacle,1,mixed,8.0,0.05,360.0,False,ID
2,two obstacles,2,mixed,8.0,0.15,360.0,False,ID
3,three obstacles,3,mixed,8.0,0.15,360.0,False,ID
4,four obstacles,4,mixed,8.0,0.15,360.0,False,ID
5,six obstacles,6,mixed,8.0,0.15,360.0,False,OOD count
6,three stars,3,star,8.0,0.15,360.0,False,OOD shape
7,two crescents,2,crescent,8.0,0.15,360.0,False,OOD shape
8,30% noise,4,mixed,8.0,0.3,360.0,False,OOD noise
9,180-degree aperture,3,mixed,8.0,0.15,180.0,False,OOD aperture
10,heteroscedastic noise,3,mixed,8.0,0.2,360.0,True,OOD noise
11,wavenumber 12,3,mixed,12.0,0.15,360.0,False,OOD frequency
12,mirrored kites,2,mirrored_kites,8.0,0.15,360.0,False,lsmlab-inspired
