design,seed,method,solver_hvps,setup_block_hvp_rounds,total_scalar_hvp_equivalent,h_relative,predicted_h_relative,query_relative,coefficient_mse,statistical_query_mse
pde_elliptic_correlated,0,learned_moment_chebyshev,8,3,20,0.0003228853311156854,0.00032287571229971945,6.911737114235965e-05,0.004200336814392358,0.0008858113214955665
pde_elliptic_correlated,0,ritz_moment_chebyshev,8,4,24,0.002680499674170278,0.002680798585060984,0.0006620804636635786,0.027422456303611398,0.0015242681693052873
pde_elliptic_correlated,0,initial_moment_chebyshev,8,3,20,8271931019110092.0,nan,1.1994556019529382e+16,3.594200821216176e+16,1.1557106477426328e+16
pde_elliptic_correlated,0,oracle_interval_richardson,8,3,20,0.3792136050760746,0.3792504382587354,0.38033506905055203,0.049786198884248734,0.36788343265652657
pde_elliptic_correlated,0,oracle_interval_hb,8,3,20,0.8678509742021561,0.8681110110331186,0.8693342717196392,0.1098922211676836,0.8395949155092239
pde_elliptic_correlated,0,oracle_interval_chebyshev,8,3,20,0.0781222628429532,0.07814748475766482,0.07829314512468834,0.010176598210819066,0.07659404538571835
pde_elliptic_correlated,0,same_preconditioner_pcg,8,3,20,1.819774619882253e-08,nan,3.1220324232503775e-09,3.4215469497667073e-06,0.0008205887643271126
pde_elliptic_correlated,0,identity_pcg,8,0,8,2.202363120318296e-06,nan,5.413388434256177e-07,7.593520695081679e-05,0.0008217318027163856
pde_elliptic_correlated,0,identity_pcg_equal_work,20,0,20,4.6850826773692233e-08,nan,7.4443575455340454e-09,1.1248753594372829e-05,0.0008205509438994341
pde_elliptic_correlated,0,identity_pcg_ritz_equal_work,24,0,24,4.6850826773692233e-08,nan,7.4443575455340454e-09,1.1248753594372829e-05,0.0008205509438994341
pde_elliptic_correlated,0,learned_moment_guarded_pcg,8,3,20,3.077956289843087e-07,nan,1.896598344260443e-07,6.641240588578512e-05,0.0008201980090234429
pde_elliptic_correlated,1,learned_moment_chebyshev,8,3,20,7.868271450206521e-05,7.866922669563792e-05,8.648411478497193e-05,0.0011097374517703429,0.0008999538767966442
pde_elliptic_correlated,1,ritz_moment_chebyshev,8,4,24,0.0031096779712243006,0.0031100518826860934,0.0011851276100707827,0.026775371748954058,0.002071620663627982
pde_elliptic_correlated,1,initial_moment_chebyshev,8,3,20,5733606483129219.0,nan,1.1417359825630226e+16,2.587606937767715e+16,1.152977823412396e+16
pde_elliptic_correlated,1,oracle_interval_richardson,8,3,20,0.37802854180336,0.3780633916241332,0.36632178089314216,0.049473405349999666,0.36913520842790604
pde_elliptic_correlated,1,oracle_interval_hb,8,3,20,0.8647301197052002,0.8649828804722598,0.7975935417448605,0.10834144614636898,0.8043000176548958
pde_elliptic_correlated,1,oracle_interval_chebyshev,8,3,20,0.07792323920875788,0.07794742086910852,0.07332459702159239,0.010068219737149775,0.07423333264887333
pde_elliptic_correlated,1,same_preconditioner_pcg,8,3,20,1.8457015693584822e-08,nan,2.9654699174776655e-09,3.4345413268965785e-06,0.0008122105209622532
pde_elliptic_correlated,1,identity_pcg,8,0,8,2.13425286688107e-06,nan,5.201978185310744e-07,7.541843115177471e-05,0.0008122327490127645
pde_elliptic_correlated,1,identity_pcg_equal_work,20,0,20,4.844687673255521e-08,nan,8.006416574028973e-09,1.1100672850261617e-05,0.0008121668361127377
pde_elliptic_correlated,1,identity_pcg_ritz_equal_work,24,0,24,4.844687673255521e-08,nan,8.006416574028973e-09,1.1100672850261617e-05,0.0008121668361127377
pde_elliptic_correlated,1,learned_moment_guarded_pcg,8,3,20,3.808500643742718e-07,nan,1.8769057360339167e-07,5.176550757823861e-05,0.0008118627374642529
pde_elliptic_correlated,2,learned_moment_chebyshev,8,3,20,5.1170194637961686e-05,5.1143272230547154e-05,2.601715516196667e-05,0.0009069954539882019,0.0008817268899292685
pde_elliptic_correlated,2,ritz_moment_chebyshev,8,4,24,0.002619592356495559,0.0026198549603577703,0.0007836065317141028,0.029700397048145533,0.0016327189659932628
pde_elliptic_correlated,2,initial_moment_chebyshev,8,3,20,166996656568420.75,nan,13775427393167.0,2189276597757094.5,13012156343800.791
pde_elliptic_correlated,2,oracle_interval_richardson,8,3,20,0.37746500223875046,0.37750080219362814,0.3736505338801988,0.049120067153126,0.35330504179000854
pde_elliptic_correlated,2,oracle_interval_hb,8,3,20,0.8613390624523163,0.8615908455209532,0.8245910579119953,0.10784080624580383,0.7793044447898865
pde_elliptic_correlated,2,oracle_interval_chebyshev,8,3,20,0.07771350536495447,0.07773815661584908,0.07537104188135615,0.010009997873567045,0.07189091062173247
pde_elliptic_correlated,2,same_preconditioner_pcg,8,3,20,1.7683463804374355e-08,nan,3.068301423118676e-09,3.2164843446480518e-06,0.0008658241495140828
pde_elliptic_correlated,2,identity_pcg,8,0,8,2.240773753214853e-06,nan,5.806883477970229e-07,7.190988708316581e-05,0.0008653632467030548
pde_elliptic_correlated,2,identity_pcg_equal_work,20,0,20,4.687994392682526e-08,nan,1.0305821611723488e-08,1.0994239005412965e-05,0.0008658165679662488
pde_elliptic_correlated,2,identity_pcg_ritz_equal_work,24,0,24,4.687994392682526e-08,nan,1.0305821611723488e-08,1.0994239005412965e-05,0.0008658165679662488
pde_elliptic_correlated,2,learned_moment_guarded_pcg,8,3,20,3.324971160623136e-07,nan,1.609948659157012e-07,4.676414982895949e-05,0.0008683816049597226
